Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
a098a868-4a74-a524-ff37-287f013da301,2022-11-03,,999-12-2527,,,,Rashad361,,Gibson10,,,,black,hispanic,M,Leesburg  Georgia  US,960 Gleason Parade Suite 94,Candler-McAfee,Georgia,DeKalb County,,00000,33.70609769231647,-84.31190277176442,584.97,6093.37,2505
05d94759-00f0-5f71-e0df-4a2cfd14aefc,2016-09-28,,999-76-3579,,,,Raymon366,Buford910,Anderson154,,,,white,nonhispanic,M,Milton  Georgia  US,575 Weimann Village Apt 64,Kings Bay Base,Georgia,Camden County,,00000,30.844488519224917,-81.60721911623075,17513.89,0.00,69557
796f7573-bd3e-667f-7bcf-77c98cbf55bb,1984-10-15,,999-42-5326,S99931937,X23344132X,Mr.,Lorenzo669,,Aponte375,,,M,white,hispanic,M,Puebla  Puebla  MX,195 Jerde Trace,Dalton,Georgia,Whitfield County,13313,30721,34.70942944319922,-85.0764871402785,60565.25,52399.15,34775
37f1411c-d032-eba9-3efd-4ce2e394af1f,2016-05-03,,999-94-9108,,,,Mac103,Cecil300,Ebert178,,,,white,nonhispanic,M,Brookhaven  Georgia  US,1065 Fadel Fort,Cartersville,Georgia,Bartow County,13015,30120,34.193281115750956,-84.75981457828023,11732.53,5297.37,45417
821b61c2-92bd-392e-071d-4ad2f803b26e,1965-08-18,,999-17-6405,S99994001,X18951373X,Mr.,Arturo47,Sancho742,Hernandes724,,,M,white,hispanic,M,San Salvador  El Salvador  SV,826 Robel Rest Suite 37,Brookhaven,Georgia,DeKalb County,13089,30319,33.85050835019433,-84.33922228242348,97236.67,169971.52,10171
e43dc14a-7ff0-9308-f2bd-d71d7a7c21c9,1959-11-13,,999-65-9422,S99929094,X35543586X,Mr.,Evan94,James276,Stiedemann542,,,M,white,nonhispanic,M,Peachtree City  Georgia  US,681 Jacobson Trail,Brookhaven,Georgia,DeKalb County,13089,30319,33.90587559002255,-84.36684145663672,123470.50,74500.75,1131
e3b40a1a-f473-4feb-23f4-23c3b5604b45,1969-12-25,,999-29-1768,S99963102,X14881065X,Mrs.,Maybelle917,Shonta375,Bogan287,,Thompson596,M,black,nonhispanic,F,Douglasville  Georgia  US,423 Haag Ranch Apt 80,Alpharetta,Georgia,Fulton County,13121,30005,34.11202435378888,-84.29845934350331,393589.00,798036.17,9142
92d789e3-3d44-457c-0559-f2ee8ef22960,1987-07-23,,999-50-6996,S99968862,X56460936X,Mrs.,Jadwiga271,,Russel238,,Collier206,D,black,nonhispanic,F,Sugar Hill  Georgia  US,1090 Gutkowski Walk,Columbus,Georgia,Muscogee County,13215,31901,32.53934479697035,-84.80762116157419,150919.62,480109.13,72350
64b717c9-d65c-c1b2-d706-bf8e791e5142,1953-12-07,,999-15-4935,S99981265,X73868010X,Mr.,Curt84,Leif534,DuBuque211,,,D,white,nonhispanic,M,Atlanta  Georgia  US,1017 Kilback Gateway Unit 54,Candler-McAfee,Georgia,DeKalb County,,00000,33.69921179446847,-84.22235639552802,118978.25,122866.32,48892
fe63f774-afd7-aab1-aaa3-97efa579660c,1951-05-14,,999-33-8380,S99955645,X27576069X,Mrs.,Faviola526,Izetta651,Dare640,,Lebsack687,M,white,nonhispanic,F,Lawrenceville  Georgia  US,681 King Village Unit 29,Smyrna,Georgia,Cobb County,13067,30060,33.804868023436285,-84.52647709815965,1722528.23,98721.54,83450
c4ae5b4d-9d92-39de-4420-befe05f19205,2016-09-01,,999-90-8756,,,,Melvin857,Darren774,Kuphal363,,,,black,nonhispanic,M,Hinesville  Georgia  US,1003 Turner Fork Unit 72,Statesboro,Georgia,Bulloch County,13031,30460,32.42192275830234,-81.74628540662324,1000.00,9310.28,16475
70a77d5c-d0bb-acad-c861-e41e1ffe0241,1979-02-09,,999-75-1029,S99918231,X74017516X,Ms.,Tifany477,Deja232,Glover433,,,S,white,nonhispanic,F,Athens  Georgia  US,671 Ferry Haven,Columbus,Georgia,Muscogee County,13263,31801,32.48423099486173,-84.96743576088834,221046.71,722006.10,19168
7dc92d27-1464-ee7f-dffb-3928e85071c0,1994-01-02,,999-18-1335,S99964156,X11315324X,Mrs.,Kassie598,Jerilyn993,Mertz280,,Turcotte120,M,black,nonhispanic,F,Warner Robins  Georgia  US,668 Skiles Course Suite 55,Brookhaven,Georgia,DeKalb County,13089,30319,33.910886160862496,-84.34147934873567,21899.05,1006369.76,23342
2ff023c4-ee9f-af29-bfab-d7ffc4c5bdd2,1983-07-21,,999-14-4805,S99975415,X22586212X,Mrs.,Ebonie344,Lakeisha206,Olson653,,Champlin946,D,white,nonhispanic,F,Deenwood  Georgia  US,660 Hilll Boulevard Apt 93,Woodstock,Georgia,Cherokee County,13057,30114,34.13824010907385,-84.43648871705653,1175476.80,306122.41,47389
